"Year","Software","Citations"
2008,"R",3810
2009,"R",5080
2010,"R",6980
2011,"R",9440
2012,"R",12600
2013,"R",14800
2014,"R",16600
2015,"R",18000
2016,"R",18400
2017,"R",19000
2018,"R",20200
2019,"R",18300
2008,"SPSS",381000
2009,"SPSS",409000
2010,"SPSS",405000
2011,"SPSS",375000
2012,"SPSS",373000
2013,"SPSS",355000
2014,"SPSS",3e+05
2015,"SPSS",250000
2016,"SPSS",202000
2017,"SPSS",142000
2018,"SPSS",104000
2019,"SPSS",63800
2008,"SAS",83600
2009,"SAS",88700
2010,"SAS",90100
2011,"SAS",91300
2012,"SAS",87200
2013,"SAS",87000
2014,"SAS",77900
2015,"SAS",70300
2016,"SAS",59000
2017,"SAS",49400
2018,"SAS",40800
2019,"SAS",25300
2008,"STATISTICA",37700
2009,"STATISTICA",39900
2010,"STATISTICA",43000
2011,"STATISTICA",46100
2012,"STATISTICA",48700
2013,"STATISTICA",49900
2014,"STATISTICA",48200
2015,"STATISTICA",45600
2016,"STATISTICA",40700
2017,"STATISTICA",35600
2018,"STATISTICA",30500
2019,"STATISTICA",20800
2008,"STATA",11500
2009,"STATA",13600
2010,"STATA",15500
2011,"STATA",17400
2012,"STATA",17500
2013,"STATA",21800
2014,"STATA",24500
2015,"STATA",27800
2016,"STATA",35100
2017,"STATA",34100
2018,"STATA",32300
2019,"STATA",25300
